date,product,category,quantity,unit_price,region
2026-08-03,Wireless Earbuds,Electronics,10.0,59.99,Asia
2026-08-07,Water Bottle,Fitness,8.0,19.95,South America
2026-08-04,Protein Powder,Fitness,6.0,49.99,North America
2026-08-01,Yoga Mat,Fitness,5.0,29.99,Europe
2026-08-03,Leather Wallet,Accessories,4.0,45.0,Europe
2026-08-02,Running Shoes,Apparel,3.0,120.0,Asia
2026-08-01,iPhone 15,Electronics,2.0,799.0,North America
2026-08-04,Desk Lamp,Home Decor,2.0,35.0,South America
2026-08-06,Blender,Appliances,2.0,149.99,Asia
2026-08-02,Coffee Maker,Appliances,1.0,89.5,North America
2026-08-05,Smart Watch,Electronics,1.0,249.0,Australia
